name,skills,experience,domain,education,certifications,projects,contact info,predicted role
Candidate_744,"Azure, Kubernetes, Docker, Terraform, GCP, Linux, Ansible, CI/CD, Bash Scripting, AWS",2.0,DevOps & Cloud Computing,Master's in Cybersecurity,CEH (Certified Ethical Hacker),Network Penetration Testing with Kali Linux | AI-Driven Cybersecurity Threat Analysis,email@example.com,DevOps Engineer
Candidate_266,"CI/CD, Terraform, Linux, Azure, Ansible, Kubernetes, Bash Scripting, AWS, GCP, Docker",13.0,DevOps & Cloud Computing,Master's in AI & ML,Edge Computing Specialist Certification,Cloud-Based IT Support Chatbot | Network Penetration Testing with Kali Linux,portfolio.example.com,DevOps Engineer
Candidate_208,"CI/CD, Linux, Ansible, Docker, GCP, AWS, Terraform, Kubernetes, Azure, Bash Scripting",3.0,DevOps & Cloud Computing,Master's in Data Science,CompTIA Security+,AI-Driven Cybersecurity Threat Analysis | Cloud-Based IT Support Chatbot,email@example.com,DevOps Engineer
Candidate_421,"CI/CD, AWS, Ansible, Linux, Azure, Bash Scripting, Terraform, Kubernetes, Docker, GCP",9.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,Edge Computing Specialist Certification,AI-Driven Cybersecurity Threat Analysis | Automated Infrastructure Deployment using Terraform,linkedin.com/in/example,AI Ethics Consultant
Candidate_280,"Azure, CI/CD, Ansible, AWS, Kubernetes, Linux, Bash Scripting, Docker, GCP, Terraform",14.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,AWS Certified Solutions Architect,Embedded Systems for Smart Home Automation | Cyber-Physical System for Smart City Traffic Control,portfolio.example.com,Edge Computing Specialist
Candidate_277,"Azure, Kubernetes, Docker, Bash Scripting, GCP, Linux, CI/CD, AWS, Ansible, Terraform",15.0,DevOps & Cloud Computing,Master's in Cybersecurity,AWS Certified Solutions Architect,CI/CD Pipeline Implementation with Jenkins and Kubernetes | Network Penetration Testing with Kali Linux,github.com/example,IT Infrastructure Manager
Candidate_978,"Ansible, Docker, Kubernetes, Terraform, Azure, Linux, AWS, GCP, CI/CD, Bash Scripting",2.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,Google Cloud Professional DevOps Engineer,Automated Infrastructure Deployment using Terraform | Embedded Systems for Smart Home Automation,email@example.com,Computer Vision Engineer
Candidate_140,"Kubernetes, CI/CD, AWS, Terraform, Docker, Linux, Azure, Bash Scripting, GCP, Ansible",14.0,DevOps & Cloud Computing,Master's in Cybersecurity,Edge Computing Specialist Certification,Fog Computing for Real-Time Video Processing | Cloud-Based IT Support Chatbot,linkedin.com/in/example,DevOps Engineer
Candidate_156,"Ansible, Azure, Linux, Docker, Terraform, GCP, AWS, Kubernetes, CI/CD, Bash Scripting",14.0,DevOps & Cloud Computing,Bachelor's in Information Technology,Google Cloud Professional DevOps Engineer,AI-Powered IoT Security for Industrial Networks | CI/CD Pipeline Implementation with Jenkins and Kubernetes,github.com/example,Computer Vision Engineer
Candidate_952,"Docker, Linux, Ansible, CI/CD, GCP, Terraform, AWS, Azure, Bash Scripting, Kubernetes",6.0,DevOps & Cloud Computing,Bachelor's in Electronics & Communication,Edge Computing Specialist Certification,Network Penetration Testing with Kali Linux | Smart Traffic Management System using IoT,email@example.com,Cybersecurity Consultant
Candidate_418,"Azure, Bash Scripting, Docker, CI/CD, Ansible, AWS, GCP, Terraform, Linux, Kubernetes",3.0,DevOps & Cloud Computing,Master's in Data Science,Edge Computing Specialist Certification,Embedded Systems for Smart Home Automation | Smart Traffic Management System using IoT,portfolio.example.com,Network Architect
